Authors,Title,Year,Source title,Link,Abstract
"Griva A., Byrne S., Dennehy D., Conboy K.",Software Requirements Quality: Using Analytics to Challenge Assumptions at Intel,2022,IEEE Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097938012&doi=10.1109%2fMS.2020.3043868&partnerID=40&md5=622730b1ebceeaf067c077f2955677a0,"Creating high-quality software requirements is critically important in the complex, dynamic, and pressurized context of contemporary software development. Our findings challenge assumptions by management and project teams regarding the relationship among requirements quality, and requirements priority, compliance, and defect rates. © 1984-2012 IEEE."
"Güdemann M., Mariani L.",Preface to the special issue on improving software quality through program analysis,2021,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107961950&doi=10.1007%2fs11219-021-09563-0&partnerID=40&md5=15a53cf5d9ec3dfe40dbe6c8698c2ac7,"This special issue is dedicated to the presentation of novel results in the scope of program analysis, verification, and testing of software to improve its quality. The papers included in the special issue present approaches that successfully combine model-based test case generation, reasoning about functional equivalence, data mining, classification, and the combination of abstraction with model-checking, to address real software applications in realistic settings. © 2021, The Author(s)."
Morales Trujillo M.E.,Learning Software Quality Assurance with Bricks,2021,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115606091&doi=10.1109%2fICSE-SEET52601.2021.00010&partnerID=40&md5=c08990e48363e295e741aaf3c8d62433,"Software Quality Assurance (SQA) and Software Process Improvement (SPI) are topics of crucial importance for software engineers; however, teaching them in a lecture room comes with several limitations due to lack of practical experience. With that in mind, we created KUALI-Brick, a LEGO-based activity that brings SQA and SPI concepts together applying them in order to successfully build a LEGO city. This hands-on activity has been carried out in a fourth-year Software Engineering course at the University of Canterbury, with current results showing high levels of fun, increased engagement and an improved learning experience. We present a step-by-step guide to replicate the activity as well as lessons learned after conducting the activity for three consecutive years. © 2021 IEEE."
Raghavan P.,James Smith on Software Bugs and Quality,2021,IEEE Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104585404&doi=10.1109%2fMS.2021.3058704&partnerID=40&md5=11af0706cb7b6a4231c550bc65a629c2,[No abstract available]
Ozkaya I.,Can We Really Achieve Software Quality?,2021,IEEE Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104583043&doi=10.1109%2fMS.2021.3060552&partnerID=40&md5=6bb14941f63b7303ce5b3695221fc320,[No abstract available]
"Karhapää P., Behutiye W., Rodríguez P., Oivo M., Costal D., Franch X., Aaramaa S., Choraś M., Partanen J., Abherve A.",Strategies to manage quality requirements in agile software development: a multiple case study,2021,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102137144&doi=10.1007%2fs10664-020-09903-x&partnerID=40&md5=6cb7f0defb9e1b5c8f2f6aa170526fa0,"Agile methods can deliver software that fulfills customer needs rapidly and continuously. Quality requirements (QRs) are important in this regard; however, detailed studies on how companies applying agile methods to manage QRs are limited, as are studies on the rationale for choosing specific QR management practices and related challenges. The aim of this study was to address why practitioners manage QRs as they do and what challenges they face. We also analyzed how existing practices mitigate some of the found challenges. Lastly, we connect the contextual elements of the companies with their practices and challenges. We conducted 36 interviews with practitioners from four companies of varying sizes. Since each company operates in different domains, comparing QR management strategies and related challenges in different contexts was possible. We found that the companies apply proactive, reactive, and interactive strategies to manage QRs. Additionally, our study revealed 40 challenges in six categories that companies applying agile methods may face in QR management. We also identified nine contextual elements that affect QR management practice choices and which, importantly, can explain many related challenges. Based on these findings, we constructed a theoretical model about the connection between context, QR management practices, and challenges. Practitioners in similar contexts can learn from the practices identified in this study. Our preliminary theoretical model can help other practitioners identify what challenges they can expect to face in QR management in different developmental contexts as well as which practices to apply to mitigate these challenges. © 2021, The Author(s)."
"Pecorelli F., Palomba F., De Lucia A.",The Relation of Test-Related Factors to Software Quality: A Case Study on Apache Systems,2021,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101418276&doi=10.1007%2fs10664-020-09891-y&partnerID=40&md5=d7bb069057ccf0279332887fd7b9e31a,"Testing represents a crucial activity to ensure software quality. Recent studies have shown that test-related factors (e.g., code coverage) can be reliable predictors of software code quality, as measured by post-release defects. While these studies provided initial compelling evidence on the relation between tests and post-release defects, they considered different test-related factors separately: as a consequence, there is still a lack of knowledge of whether these factors are still good predictors when considering all together. In this paper, we propose a comprehensive case study on how test-related factors relate to production code quality in Apache systems. We first investigated how the presence of tests relates to post-release defects; then, we analyzed the role played by the test-related factors previously shown as significantly related to post-release defects. The key findings of the study show that, when controlling for other metrics (e.g., size of the production class), test-related factors have a limited connection to post-release defects. © 2021, The Author(s)."
"Trautsch A., Herbold S., Grabowski J.",A longitudinal study of static analysis warning evolution and the effects of PMD on software quality in Apache open source projects,2020,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091245352&doi=10.1007%2fs10664-020-09880-1&partnerID=40&md5=077dac4a9230c050eb6b28ff2c596d4c,"Automated static analysis tools (ASATs) have become a major part of the software development workflow. Acting on the generated warnings, i.e., changing the code indicated in the warning, should be part of, at latest, the code review phase. Despite this being a best practice in software development, there is still a lack of empirical research regarding the usage of ASATs in the wild. In this work, we want to study ASAT warning trends in software via the example of PMD as an ASAT and its usage in open source projects. We analyzed the commit history of 54 projects (with 112,266 commits in total), taking into account 193 PMD rules and 61 PMD releases. We investigate trends of ASAT warnings over up to 17 years for the selected study subjects regarding changes of warning types, short and long term impact of ASAT use, and changes in warning severities. We found that large global changes in ASAT warnings are mostly due to coding style changes regarding braces and naming conventions. We also found that, surprisingly, the influence of the presence of PMD in the build process of the project on warning removal trends for the number of warnings per lines of code is small and not statistically significant. Regardless, if we consider defect density as a proxy for external quality, we see a positive effect if PMD is present in the build configuration of our study subjects. © 2020, The Author(s)."
"Peischl B., Eberhardinger B.",Guest Editorial: Special issue on quality of adaptive software systems,2020,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089586423&doi=10.1007%2fs11219-020-09526-x&partnerID=40&md5=02ffeb30152dcf3aa81e2f589748fe04,[No abstract available]
"Gualo F., Caballero I., Rodriguez M.",Towards a software quality certification of master data-based applications,2020,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078230979&doi=10.1007%2fs11219-019-09495-w&partnerID=40&md5=4ee7a355d98f501c70245073f2ba66b9,"Master data management (MDM) can provide an integrated and unified view of key business entities to offer better support in business processes. Due to the very nature of master data-based applications, it is possible to use data with the highest possible level of quality. MDM can help ensure that some common concerns, like duplicates or inconsistencies, are prevented by sharing a ‘single version of the truth’ throughout the organisation, and, in some cases, allowing collaborative updates to the master data repository. Therefore, assuring the reliability of master data-based applications, would improve the organisation efficiency. This type of application should implement a set of functional requirements covering the basic operation of MDM principles. We propose a solution based on the evaluation and certification of ‘functional suitability’ of MDM applications. As part of our proposal, we inferred a set of functional requirements from parts 100 to 140 of ISO 8000. This set will be used as a reference in the required matching to compute values for each one of the metrics, properties, subcharacteristics and ultimately, functional suitability following a bottom-up procedure. Finally, the paper also describes the application of the evaluation procedure of an existing master data-based application. © 2020, Springer Science+Business Media, LLC, part of Springer Nature."
