Authors,Title,Year,Source title,Link,Abstract
"Karhapää P., Behutiye W., Rodríguez P., Oivo M., Costal D., Franch X., Aaramaa S., Choraś M., Partanen J., Abherve A.",Strategies to manage quality requirements in agile software development: a multiple case study,2021,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102137144&doi=10.1007%2fs10664-020-09903-x&partnerID=40&md5=6cb7f0defb9e1b5c8f2f6aa170526fa0,"Agile methods can deliver software that fulfills customer needs rapidly and continuously. Quality requirements (QRs) are important in this regard; however, detailed studies on how companies applying agile methods to manage QRs are limited, as are studies on the rationale for choosing specific QR management practices and related challenges. The aim of this study was to address why practitioners manage QRs as they do and what challenges they face. We also analyzed how existing practices mitigate some of the found challenges. Lastly, we connect the contextual elements of the companies with their practices and challenges. We conducted 36 interviews with practitioners from four companies of varying sizes. Since each company operates in different domains, comparing QR management strategies and related challenges in different contexts was possible. We found that the companies apply proactive, reactive, and interactive strategies to manage QRs. Additionally, our study revealed 40 challenges in six categories that companies applying agile methods may face in QR management. We also identified nine contextual elements that affect QR management practice choices and which, importantly, can explain many related challenges. Based on these findings, we constructed a theoretical model about the connection between context, QR management practices, and challenges. Practitioners in similar contexts can learn from the practices identified in this study. Our preliminary theoretical model can help other practitioners identify what challenges they can expect to face in QR management in different developmental contexts as well as which practices to apply to mitigate these challenges. © 2021, The Author(s)."
"Pecorelli F., Palomba F., De Lucia A.",The Relation of Test-Related Factors to Software Quality: A Case Study on Apache Systems,2021,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101418276&doi=10.1007%2fs10664-020-09891-y&partnerID=40&md5=d7bb069057ccf0279332887fd7b9e31a,"Testing represents a crucial activity to ensure software quality. Recent studies have shown that test-related factors (e.g., code coverage) can be reliable predictors of software code quality, as measured by post-release defects. While these studies provided initial compelling evidence on the relation between tests and post-release defects, they considered different test-related factors separately: as a consequence, there is still a lack of knowledge of whether these factors are still good predictors when considering all together. In this paper, we propose a comprehensive case study on how test-related factors relate to production code quality in Apache systems. We first investigated how the presence of tests relates to post-release defects; then, we analyzed the role played by the test-related factors previously shown as significantly related to post-release defects. The key findings of the study show that, when controlling for other metrics (e.g., size of the production class), test-related factors have a limited connection to post-release defects. © 2021, The Author(s)."
"Trautsch A., Herbold S., Grabowski J.",A longitudinal study of static analysis warning evolution and the effects of PMD on software quality in Apache open source projects,2020,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091245352&doi=10.1007%2fs10664-020-09880-1&partnerID=40&md5=077dac4a9230c050eb6b28ff2c596d4c,"Automated static analysis tools (ASATs) have become a major part of the software development workflow. Acting on the generated warnings, i.e., changing the code indicated in the warning, should be part of, at latest, the code review phase. Despite this being a best practice in software development, there is still a lack of empirical research regarding the usage of ASATs in the wild. In this work, we want to study ASAT warning trends in software via the example of PMD as an ASAT and its usage in open source projects. We analyzed the commit history of 54 projects (with 112,266 commits in total), taking into account 193 PMD rules and 61 PMD releases. We investigate trends of ASAT warnings over up to 17 years for the selected study subjects regarding changes of warning types, short and long term impact of ASAT use, and changes in warning severities. We found that large global changes in ASAT warnings are mostly due to coding style changes regarding braces and naming conventions. We also found that, surprisingly, the influence of the presence of PMD in the build process of the project on warning removal trends for the number of warnings per lines of code is small and not statistically significant. Regardless, if we consider defect density as a proxy for external quality, we see a positive effect if PMD is present in the build configuration of our study subjects. © 2020, The Author(s)."
Alami A.,The sustainability of quality in free and open source software,2020,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094174322&doi=10.1145%2f3377812.3381402&partnerID=40&md5=afb03b21ee1d83333f142cfdf9d75b14,"We learned from the history of software that great software are theones who manage to sustain their quality. Free and open sourcesoftware (FOSS) has become a serious software supply channel.However, trust on FOSS products is still an issue. Quality is a traitthat enhances trust. In my study, I investigate the following question: how do FOSS communities sustain their software quality? Iargue that human and social factors contribute to the sustainabilityof quality in FOSS communities. Amongst these factors are: themotivation of participants, robust governance style for the software change process, and the exercise of good practices in the pullrequests evaluation process. © 2020 Copyright held by the owner/author(s)."
"Kavalchuk A., Goldenberg A., Hussain I.",An empirical study of teaching qualities of popular computer science and software engineering instructors using RateMyProfessor.com data,2020,Proceedings - International Conference on Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093651824&doi=10.1145%2f3377814.3381700&partnerID=40&md5=548f17e80886b8cef5906827f72cb85a,"The employment opportunity for Computer Science (CS), Information Technology and Software Engineering and Development (SE) related occupations is projected to grow much faster than the average of all other occupations. Therefore, increase in student enrollment, retention and graduation rate is becoming very important, so is the need for effective teaching in these subjects. Many universities commonly use formal, institutional Student Evaluation of Teaching (SET) systems to measure the teaching effectiveness. After each semester, through SET, students provide feedback and comments for their courses and instructors. However, evaluations are private and only a handful people have access to these. Therefore, these evaluations cannot be utilized to create a common understanding of the students' expectations, perspective, desired characteristics of the courses and instructors. On the other hand, third party online platforms like RateMyProfessor.com (RMP) are public, solicit anonymous student feedback and host tremendous amount of data about the instructors and their courses. These platforms are also popular among students. We mined and analyzed the RMP data for some research questions, e.g.: What are the common characteristics of the popular CS instructors? How different are they for the SE instructors? Are there any examples of special characteristics, tools and techniques popular CS instructors use? We captured and analyzed more than 9,000 students' comments for over 300 CS instructors for the top 20 universities in the U.S. and Canada. The paper contributes by presenting the findings for the research questions and making the data and the scripts available for public use for future research. © 2020 IEEE Computer Society. All rights reserved."
"Dey T., Mockus A.",Deriving a usage-independent software quality metric,2020,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079758011&doi=10.1007%2fs10664-019-09791-w&partnerID=40&md5=6305e781914a82218ae0b82161c1ec56,"Context: The extent of post-release use of software affects the number of faults, thus biasing quality metrics and adversely affecting associated decisions. The proprietary nature of usage data limited deeper exploration of this subject in the past. Objective: To determine how software faults and software use are related and how, based on that, an accurate quality measure can be designed. Method: Via Google Analytics we measure new users, usage intensity, usage frequency, exceptions, and release date and duration for complex proprietary mobile applications for Android and iOS. We utilize Bayesian Network and Random Forest models to explain the interrelationships and to derive the usage independent release quality measure. To increase external validity, we also investigate the interrelationship among various code complexity measures, usage (downloads), and number of issues for 520 NPM packages. We derived a usage-independent quality measure from these analyses, and applied it on 4430 popular NPM packages to construct timelines for comparing the perceived quality (number of issues) and our derived measure of quality during the lifetime of these packages. Results: We found the number of new users to be the primary factor determining the number of exceptions, and found no direct link between the intensity and frequency of software usage and software faults. Crashes increased with the power of 1.02-1.04 of new user for the Android app and power of 1.6 for the iOS app. Release quality expressed as crashes per user was independent of other usage-related predictors, thus serving as a usage independent measure of software quality. Usage also affected quality in NPM, where downloads were strongly associated with numbers of issues, even after taking the other code complexity measures into consideration. Unlike in mobile case where exceptions per user decrease over time, for 45.8% of the NPM packages the number of issues per download increase. Conclusions: We expect our result and our proposed quality measure will help gauge release quality of a software more accurately and inspire further research in this area. © 2020, Springer Science+Business Media, LLC, part of Springer Nature."
"Brindescu C., Ahmed I., Jensen C., Sarma A.",An empirical investigation into merge conflicts and their effect on software quality,2020,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072196973&doi=10.1007%2fs10664-019-09735-4&partnerID=40&md5=1f8c97f2452902a4690b4cd97cb910a9,"Merge conflicts are known to cause extra effort for developers, but little is known about their effect on software. While some research has been done, many questions remain. To better understand merge conflicts and their impact we performed an empirical study about the types, frequency, and impact of merge conflicts, where impact is measured in terms of bug fixing commits associated with conflicts. We analyzed 143 open source projects and found that almost 1 in 5 merges cause conflicts. In 75.23% of these cases, a developer needed to reflect on the program logic to resolve it. We also found that the code associated with a merge conflict is twice as likely to have a bug. When the code associated with merge conflicts require manual intervention, the code is 26× more likely to have a bug. © 2019, Springer Science+Business Media, LLC, part of Springer Nature."
Datta S.,How does developer interaction relate to software quality? an examination of product development data,2018,Empirical Software Engineering,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026823677&doi=10.1007%2fs10664-017-9534-0&partnerID=40&md5=1bcbb3493632b82239aeb55703852b5f,"Industrial software systems are being increasingly developed by large and distributed teams. Tools like collaborative development environments (CDE) are used to facilitate interaction between members of such teams, with the expectation that social factors around the interaction would facilitate team functioning. In this paper, we first identify typically social characteristics of interaction in a software development team: reachability, connection, association, and clustering. We then examine how these factors relate to the quality of software produced by a team, in terms of the number of defects, through an empirical study of 70+ teams, involving 900+ developers in total, spread across 30+ locations and 19 time-zones, working on 40,000+ units of work in the multi-version development of a major industrial product, spreading across more than five years. After controlling for known factors affecting large scale distributed development such as dependency, system age, developer expertise and experience, geographic dispersion, socio-technical congruence, and the number of files changed, we find statistically significant effects of connection and clustering on software quality. Higher levels of intra-team connection are found to relate to higher defect count, whereas more clustering relates to fewer defects. We examine the implications of these results for individual developers, project managers, and organizations. © 2017, Springer Science+Business Media, LLC."
"Stevenson J., Wood M.",Recognising object-oriented software design quality: a practitioner-based questionnaire survey,2018,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017566671&doi=10.1007%2fs11219-017-9364-8&partnerID=40&md5=64be91384347ff392179346f104c31a8,"Design quality is vital if software is to be maintainable. What practices do developers actually use to achieve design quality in their day-to-day work and which of these do they find most useful? To discover the extent to which practitioners concern themselves with object-oriented design quality and the approaches used when determining quality in practice, a questionnaire survey of 102 software practitioners, approximately half from the UK and the remainder from elsewhere around the world was used. Individual and peer experience are major contributors to design quality. Classic design guidelines, well-known lower level practices, tools and metrics all can also contribute positively to design quality. There is a potential relationship between testing practices and design quality. Inexperience, time pressures, novel problems, novel technology, and imprecise or changing requirements may have a negative impact on quality. Respondents with most experience are more confident in their design decisions, place more value on reviews by team leads and are more likely to rate design quality as very important. For practitioners, these results identify the techniques and tools that other practitioners find effective. For researchers, the results highlight a need for more work investigating the role of experience in the design process and the contribution experience makes to quality. There is also the potential for more in-depth studies of how practitioners are actually using design guidance, including Clean Code. Lastly, the potential relationship between testing practices and design quality merits further investigation. © 2017, The Author(s)."
"Foidl H., Felderer M.",Integrating software quality models into risk-based testing,2018,Software Quality Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994719172&doi=10.1007%2fs11219-016-9345-3&partnerID=40&md5=08aef64094ee176e3efa77d89641d4fa,"Risk-based testing is a frequently used testing approach which utilizes identified risks of a software system to provide decision support in all phases of the testing process. Risk assessment, which is a core activity of every risk-based testing process, is often done in an ad hoc manual way. Software quality assessments, based on quality models, already describe the product-related risks of a whole software product and provide objective and automation-supported assessments. But so far, quality models have not been applied for risk assessment and risk-based testing in a systematic way. This article tries to fill this gap and investigates how the information and data of a quality assessment based on the open quality model QuaMoCo can be integrated into risk-based testing. We first present two generic approaches showing how quality assessments based on quality models can be integrated into risk-based testing and then provide the concrete integration on the basis of the open quality model QuaMoCo. Based on five open source products, a case study is performed. Results of the case study show that a risk-based testing strategy outperforms a lines of code-based testing strategy with regard to the number of defects detected. Moreover, a significant positive relationship between the risk coefficient and the associated number of defects was found. © 2016, The Author(s)."
